price,distance
61502,5.37
66998,5.37
88233,5.37
88888,5.37
43500,5.42
41000,5.41
43500,5.41
43500,5.41
43500,5.41
43500,5.41
35500,5.28
43500,5.42
70000,5
43500,5.47
30000,5.09
46000,5.41
450000,5.3
75000,4.86
36000,5.1
110000,5.33
40000,5.02
40000,5.01
82000,5.05
85000,5.05
38000,5.47
42000,5.47
52000,5.08
62000,5.08
65000,5.08
65000,5.08
70000,5.08
72000,5.08
80000,5.08
85000,5.08
120000,5.3
30000,4.77
40000,4.61
55000,4.61
55000,4.61
140000,2.53
40000,5.55
180000,5.4
86000,2.32
86000,2.32
105000,5.35
120000,0.49
72500,5.12
75000,5.12
85000,5.12
91000,5.12
115000,5.12
115000,5.12
91000,4.71
60000,5.13
169000,1.8
67000,4.71
48000,5.42
63000,2.3
92000,2.22
22500,4.65
40000,4.65
44000,4.65
46000,4.65
160000,0.54
115000,5.14
29800,0.53
31000,0.53
28700,4.66
29800,0.53
29800,0.27
31000,0.27
24300,0.53
29800,0.53
24300,0.53
29800,0.53
40000,5.32
90000,5.34
90000,4.62
115000,4.64
44900,4.62
55570,4.62
48000,1.42
55000,4.61
85000,0.85
38000,5.4
40000,5.4
40000,5.4
33500,5.41
52000,4.61
102000,2.59
140000,2.6
140000,2.6
140000,4.23
130000,4.2
99000,2.61
130000,2.29
43260,5.19
50000,5.19
50000,5.23
52000,5.19
52000,5.23
52000,5.19
52000,5.23
52000,5.19
52000,5.23
58000,5.19
60000,5.23
69000,5.19
73000,5.23
85000,5.19
85000,5.23
85000,5.19
112000,5.23
120000,5.19
38000,4.1
350000,0.3
56000,4.67
520000,0.4
65200,4.68
66700,4.47
66700,4.68
72900,4.47
73700,4.68
73795,4.47
74200,4.68
74200,4.47
82400,4.68
86600,4.47
270000,0.34
245000,0.47
390000,5.23
50000,5.24
65000,0.62
22000,0.74
21000,0.56
25060,1.21
26700,0.54
26700,0.54
26700,0.54
29500,0.79
30000,0.56
35000,0.58
37000,0.48
37000,0.46
37000,0.66
39000,0.62
39600,1.01
40570,0.47
42000,0.88
60660,0.88
60660,1.26
65000,0.38
100000,4.98
100000,4.98
170000,4.7
30000,0.69
120000,4.62
20800,1.07
44000,0.05
56500,0.06
85000,0.06
50000,0.08
490000,0.6
200000,1.17
70000,1.21
90000,0.7
48000,0.95
120000,0.42
90000,0.42
95800,0.97
25000,0.97
90000,1.1
96000,1.03
100000,0.68
200000,0.46
220000,0.96
75000,1.22
70000,1.04
135000,1.01
95000,1.13
80000,0.88
72000,0.88
94500,1.13
150000,1.26
150000,1.25
130000,0.36
120000,0.7
96000,1.03
130000,0.36
80000,1.14
90000,1.13
80000,0.65
83000,0.59
75000,0.9
98000,1.15
30000,0.86
72000,0.77
115000,1.02
68000,0.64
160000,0.59
150000,0.53
150000,0.53
75000,0.56
92600,0.94
55000,0.9
98000,0.9
88000,0.45
88000,1.08
125000,1.15
130000,1.13
80000,1.06
68000,1.08
165000,0.84
55000,1.22
90000,1.14
110000,0.91
95000,1
100000,1.25
100000,1.04
130000,1.06
98000,0.89
95000,1.03
65000,0.89
29300,0.86
120000,1.06
95000,0.54
140000,0.54
65000,0.89
200000,1.15
80000,1.08
90000,0.64
130000,0.54
86000,1.16
200000,0.97
70000,0.84
130000,1.04
80000,0.66
60000,0.93
120000,0.61
100000,1.12
95000,1.17
75000,0.81
110000,1
80000,0.76
200000,1.04
130000,1.08
58000,1.59
55000,1.13
38000,0.78
37000,1.13
35000,1.13
76000,0.74
35000,1.13
43000,0.17
76000,0.68
75000,0.65
45000,0.93
35000,1.08
30000,0.18
37600,0.92
42000,0.91
48000,0.76
45000,0.95
30000,0.93
30000,0.91
105000,1.19
38000,0.61
59000,0.95
75000,0.97
59000,0.95
58000,0.87
42000,0.95
96000,1.02
93000,1.02
160000,0.48
38000,0.93
24570,1.04
55000,0.9
55000,1.59
45000,0.65
24570,1.04
25000,0.87
25500,0.54
37000,1.15
38000,0.79
39008,0.93
42000,1.03
42000,0.86
42468,0.93
43889,0.59
45000,0.93
45000,0.47
45000,1.14
45000,1.16
46000,0.79
46570,1.04
47000,1.04
47000,1.03
48000,0.7
48000,0.86
49000,0.94
49820,0.61
50000,0.47
52000,1.02
55000,0.87
55000,0.47
55000,1.09
55000,0.35
55500,0.69
56000,1.14
56000,0.31
59582,0.19
59582,0.16
60000,0.97
60000,1.04
60000,0.93
63000,0.19
63350,0.29
64688,1.17
65000,0.65
65000,0.66
68000,1.08
68000,0.63
68000,1.16
70000,0.63
70000,1.21
70000,0.89
75000,0.89
75000,0.88
75000,0.55
