,id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
3513,505517,56000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,0.0,65.0,4.0,615.63,0.0,3.27,0.0,29.45,23.3,90.46,0,0,10.93311,0
3514,505526,56000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,3.0,338.4,96.71,0.0,0.07,0.28,0.02,234.0,0,0,10.93311,0
3515,505527,56000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,4.0,312.48,6.02,0.0,1.16,18.19,16.9,121.7,0,0,10.93311,0
3516,505541,56000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,1.0,0.0,3.0,2.0,0.0,108.0,3.0,522.27,13.79,0.0,8.32,7.69,1.84,52.0,0,0,10.93311,0
3517,505551,56402.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,3.0,852.94,16.08,0.0,0.42,27.7,0.91,234.0,0,0,10.94026,0
3518,505552,56443.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,145.0,3.0,374.17,88.01,0.0,0.26,1.01,0.06,234.0,1,0,10.94099,0
3519,505558,56600.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,0.0,66.0,4.0,535.42,0.33,0.0,0.08,19.88,36.46,166.45,0,0,10.94376,0
3520,505560,56767.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,61.0,3.0,215.15,7.5,0.0,1.87,8.94,0.94,52.0,1,0,10.94671,0
3521,505582,57000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,0.0,1.0,0.0,3.0,2.0,1.0,56.0,3.0,215.15,7.5,0.0,1.87,8.94,0.94,52.0,0,0,10.95081,0
3522,505584,57000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,6.0,1.0,0.0,0.0,2.0,2.0,1.0,57.0,4.0,831.19,17.56,0.0,0.0,32.42,6.55,234.0,0,0,10.95081,0
3523,505586,57000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,58.0,3.0,726.02,2.44,0.0,2.12,8.18,0.46,234.0,0,0,10.95081,0
3524,505587,57000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,58.0,3.0,365.52,25.08,0.0,4.1,24.66,0.9,52.0,0,0,10.95081,0
3525,505590,57000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,59.0,3.0,884.63,19.48,0.0,0.0,32.57,1.02,234.0,0,0,10.95081,0
3526,505603,57000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,1.0,0.0,3.0,2.0,0.0,64.0,3.0,726.02,2.44,0.0,2.12,8.18,0.46,234.0,0,0,10.95081,0
3527,505610,57000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,1.0,0.0,0.0,3.0,2.0,1.0,68.0,3.0,852.94,16.08,0.0,0.42,27.7,0.91,234.0,0,0,10.95081,0
3528,505625,57000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,4.0,2.0,1.0,76.0,3.0,470.34,2.78,0.0,0.7,13.83,20.17,113.68,0,0,10.95081,0
3529,505630,57000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,0.0,1.0,0.0,3.0,2.0,0.0,90.0,3.0,215.15,7.5,0.0,1.87,8.94,0.94,52.0,0,0,10.95081,0
