,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
2266,44900,201.58,3,0,63,2,3.91,122.0,2004,0,0,0,0,1,0,0
2267,45000,199.84,3,0,33,2,3.93,122.0,2004,0,0,0,0,1,0,0
2268,45000,311.81,3,0,45,1,3.66,122.0,2006,0,0,0,0,0,0,1
2269,45000,426.25,3,0,50,1,3.66,122.0,2006,0,0,0,0,0,0,1
2270,45000,288.67,3,0,53,1,3.62,122.0,2004,0,0,0,0,1,0,0
2271,45000,337.4,3,0,56,1,3.7,122.0,2005,0,0,0,0,0,1,0
2272,45000,371.89,3,0,57,1,6.77,143.58,2005,0,0,0,0,0,1,0
2273,45000,452.66,3,0,58,1,3.89,122.0,2005,0,0,0,0,0,1,0
2274,45000,187.37,3,0,59,2,4.04,122.0,2004,0,0,0,0,1,0,0
2275,45000,261.7,3,0,59,1,4.04,122.0,2005,0,0,0,0,0,1,0
2276,45000,452.66,3,0,59,1,3.89,122.0,2005,0,0,0,0,0,1,0
2277,45000,172.66,3,0,59,1,4.17,122.0,2003,0,0,0,1,0,0,0
2278,45000,172.66,3,0,60,2,4.17,122.0,2002,0,0,1,0,0,0,0
2279,45000,172.66,3,0,60,2,4.17,122.0,2002,0,0,1,0,0,0,0
2280,45000,205.9,3,0,60,2,3.87,122.0,2005,0,0,0,0,0,1,0
2281,45000,288.22,3,0,61,2,0.85,122.0,2005,0,0,0,0,0,1,0
2282,45000,277.08,3,0,61,2,4.24,122.0,2001,0,1,0,0,0,0,0
2283,45000,453.89,3,0,63,1,3.9,122.0,2005,0,0,0,0,0,1,0
2284,45000,172.41,3,0,63,1,4.18,122.0,2005,0,0,0,0,0,1,0
2285,45000,167.12,3,0,64,1,4.27,122.0,2006,0,0,0,0,0,0,1
2286,45000,276.73,3,0,65,1,0.17,135.4,2001,0,1,0,0,0,0,0
2287,45000,453.89,3,0,65,1,3.9,122.0,2004,0,0,0,0,1,0,0
2288,45000,154.09,3,0,66,1,4.14,122.0,2005,0,0,0,0,0,1,0
2289,45000,291.54,3,0,68,1,5.82,122.0,2005,0,0,0,0,0,1,0
2290,45000,795.51,3,0,72,1,4.28,122.0,2006,0,0,0,0,0,0,1
2291,45000,649.57,3,0,72,1,1.39,124.76,2004,0,0,0,0,1,0,0
2292,45000,181.17,3,0,72,3,4.1,122.0,2001,0,1,0,0,0,0,0
2293,45000,217.6,3,0,72,3,4.93,122.0,2001,0,1,0,0,0,0,0
2294,45000,434.91,3,0,81,2,0.67,46.0,2001,0,1,0,0,0,0,0
2295,45000,634.36,3,0,99,1,3.03,122.0,2006,0,0,0,0,0,0,1
2296,45000,634.36,3,0,99,1,3.03,122.0,2006,0,0,0,0,0,0,1
2297,45000,634.36,3,0,99,1,3.03,122.0,2006,0,0,0,0,0,0,1
2298,45000,158.04,3,1,108,3,4.59,122.0,2001,0,1,0,0,0,0,0
2299,45871,424.71,3,0,64,1,3.85,122.0,2005,0,0,0,0,0,1,0
2300,45900,205.9,3,0,64,2,3.87,122.0,2005,0,0,0,0,0,1,0
2301,46000,263.24,3,1,56,1,4.04,122.0,2006,0,0,0,0,0,0,1
2302,46000,335.03,3,0,56,1,3.7,122.0,2006,0,0,0,0,0,0,1
2303,46000,82.47,3,0,57,1,11.34,156.0,2005,0,0,0,0,0,1,0
2304,46000,371.89,3,0,59,1,6.77,143.58,2004,0,0,0,0,1,0,0
